CODUSU;NRO_HOGAR;REALIZADA;ANO4STRE;TRIMESTRE;REGIONDO;MAS_500DO;AGLOMERADO;PONDERA;IV1ESP;IV1_ESP;IV2ESP;IV3ESP;IV3_ESP;IV4ESP;IV5ESP;IV6ESP;IV7ESP;IV7_ESP;IV81;IV91;IV101;IV111;IV12_1;IV12_2;IV12_3;II11P;II21P;II31P;II3_1P;II4_1P;II4_2P;II4_3P;II51P;II5_1P;II61P0;II6_1P0;II7ESP0;II7_ESP0;II8ESP0;II8_ESP0;II9A00;V1A00;V2A00;V21A00;V22A00;V3A00;V4A00;V5A00;V6A00;V7A00;V8A00;V9A00;V10A00;V11A00;V12A00;V13A00;V14A00;V15A00;V16A00;V17A00;V18A00;V19_A00;V19_B00;IX_TOT00;IX_MEN100;IX_MAYEQ10;ITFFRDO;DECIFRDO;IDECIFRDO;RDECIFRDO;GDECIFRDO;PDECIFRDO;ADECIFRDO;IPCFRDO;DECCFRDO;IDECCFRDO;RDECCFRDO;GDECCFRDO;PDECCFRDO;ADECCFRDO;VII1_1DO;VII1_2DO;VII2_1Q10;VII2_2Q10;VII2_3Q10;VII2_4Q10;IDIMPHQ10
380062;1;1;2014;4;1;S;32;2150;2;;7;1;;9;1;1;1;;1;1;1;1;2;2;2;7;3;2;0;1;1;2;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;0;1;20000;09;;09;09;;08;20000.0;10;;10;10;;10;96;0;1;0;0;0;10000
380063;1;1;2014;4;40;N;25;111;1;;2;1;;1;1;1;1;;1;1;1;1;1;2;2;2;2;2;0;1;1;2;2;0;2;0;1;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;2;2;0;2;10500;06;07;07;;07;07;5250.0;08;08;09;;08;09;1;2;98;0;0;0;00000
380064;1;1;2014;4;43;S;5;231;1;;4;2;;4;2;1;2;;1;1;2;3;2;2;2;4;4;2;0;1;2;1;2;0;2;0;2;;2;;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;1;1;2;2;2;4;0;4;4900;02;03;02;02;;02;1225.0;02;02;01;02;;01;1;2;3;4;0;0;00100
380067;1;1;2014;4;43;N;3;228;1;;4;1;;3;1;1;1;;1;1;1;2;2;2;2;4;3;2;0;1;1;1;2;0;2;0;3;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;0;3;7000;04;04;04;;04;04;2333.3333333333;04;04;03;;04;02;1;0;98;0;0;0;10000
380068;1;1;2014;4;43;N;6;166;1;;3;1;;2;1;1;1;;1;1;1;1;2;2;2;3;1;2;0;1;2;2;2;0;2;0;1;;1;;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;8000;05;05;05;;05;04;8000.0;09;09;09;;09;09;97;0;96;0;0;0;00000
380071;2;1;2014;4;1;S;32;1597;2;;4;1;;9;1;1;1;;1;1;1;1;2;2;2;4;3;2;0;1;1;2;2;0;2;0;3;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;0;3;19000;09;;09;09;;08;6333.3333333333;08;;08;08;;06;2;0;1;0;0;0;00000
380073;1;1;2014;4;42;S;10;418;1;;4;1;;1;1;1;1;;1;1;1;1;2;2;2;4;1;2;0;1;2;2;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;1;2;2;2;3;0;3;8000;05;05;05;05;;05;2666.6666666667;04;05;05;04;;05;3;0;2;0;0;0;00000
380074;1;1;2014;4;40;S;23;180;2;;3;1;;1;1;1;1;;1;1;1;1;2;2;2;3;1;2;0;1;1;2;2;0;2;0;1;;1;;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;1;0;1;5900;03;03;04;03;;04;5900.0;08;08;09;08;;09;96;0;98;0;0;0;00000
380075;1;1;2014;4;1;S;33;1203;1;;3;1;;1;1;1;1;;1;1;1;1;2;2;2;3;2;2;0;1;1;1;1;1;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;6;0;6;12000;07;;07;07;;07;2000.0;03;;03;03;;03;2;3;98;0;0;0;00000
380077;1;1;2014;4;43;N;30;52;1;;2;1;;1;1;1;1;;1;1;1;1;2;2;2;2;1;2;0;1;2;2;2;0;2;0;6;;1;;1;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;10300;06;07;06;;07;06;10300.0;10;10;10;;10;10;1;0;98;0;0;0;00000
380078;1;1;2014;4;43;N;36;134;1;;4;1;;1;1;1;1;;1;1;1;1;2;2;2;4;2;2;0;1;2;1;2;0;2;0;3;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;3;1;2;17000;09;09;09;;09;09;5666.6666666667;08;08;08;;08;08;2;0;98;0;0;0;00000
380079;1;1;2014;4;41;N;12;151;1;;4;1;;1;1;1;1;;1;1;1;1;2;2;2;4;1;2;0;1;1;1;2;0;2;0;1;;2;;1;2;1;2;2;2;2;2;1;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;0;2;6000;03;03;05;;04;05;3000.0;05;05;07;;05;07;2;0;98;0;0;0;00000
380080;1;1;2014;4;1;S;32;2393;2;;2;1;;9;1;1;1;;1;1;1;1;2;2;2;2;1;2;0;1;2;2;2;0;2;0;2;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;1;0;1;4700;02;;02;02;;01;4700.0;07;;07;07;;04;1;0;98;0;0;0;00000
380081;1;1;2014;4;1;S;32;3829;2;;4;1;;9;1;1;1;;1;1;1;1;2;2;2;4;3;2;0;1;1;2;2;0;2;0;1;;1;;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;5;0;5;12000;07;;07;07;;05;2400.0;04;;03;04;;02;2;0;3;0;0;0;00000
380082;1;1;2014;4;44;N;20;69;1;;4;1;;4;1;1;1;;1;1;1;1;2;2;2;4;3;2;0;1;1;2;2;0;2;0;4;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;3;0;3;23000;10;10;08;;10;08;7666.6666666667;09;09;08;;09;07;1;0;98;0;0;0;00000
380083;1;1;2014;4;40;S;29;303;1;;5;1;;4;1;1;1;;1;1;1;1;2;2;2;5;4;1;1;1;1;1;2;0;2;0;6;;1;;1;1;1;2;2;2;2;1;2;1;2;2;2;1;2;2;2;2;1;2;2;2;2;7;0;7;11040;07;07;07;06;;07;1577.1428571429;02;02;03;02;;03;2;0;4;5;0;0;00000
380084;1;1;2014;4;43;N;30;92;1;;2;1;;1;1;1;1;;1;1;1;1;2;2;2;2;1;2;0;1;1;1;2;0;2;0;1;;1;;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;0;00;00;00;;00;00;0.0;00;00;00;;00;00;2;0;98;0;0;0;00000
380085;1;1;2014;4;44;N;91;94;1;;3;1;;1;1;1;1;;1;1;1;1;2;2;2;3;2;2;0;1;2;2;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;1;2;2;2;2;2;1;1;12000;07;07;05;;07;06;6000.0;08;09;07;;09;07;1;0;98;0;0;0;00000
380086;1;1;2014;4;40;S;23;235;2;;3;1;;2;2;1;1;;1;1;1;1;2;2;2;3;2;2;0;1;1;2;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;2;0;2;6500;04;04;04;04;;04;3250.0;05;06;07;05;;07;1;2;98;0;0;0;00000
380087;1;1;2014;4;43;S;2;534;1;;3;1;;3;1;1;1;;1;1;1;3;2;2;2;3;2;2;0;1;1;2;2;0;2;0;1;;2;;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;9200;06;06;06;05;;05;4600.0;07;07;07;07;;06;1;0;98;0;0;0;00010
380089;1;1;2014;4;40;S;29;247;2;;2;2;;2;2;2;2;;1;2;1;2;2;2;2;2;1;1;1;1;2;2;2;0;2;0;8;;2;;3;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;2;2;2;2;1;0;1;2000;01;01;01;01;;01;2000.0;03;03;05;03;;04;1;0;98;0;0;0;00000
380090;1;1;2014;4;44;N;20;77;1;;2;1;;4;1;1;1;;1;1;1;1;2;2;2;2;1;2;0;1;1;2;2;0;2;0;3;;1;;1;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;1;3;5500;03;03;02;;03;01;1375.0;02;02;01;;02;01;2;0;98;0;0;0;00000
380092;1;1;2014;4;43;N;3;173;1;;3;1;;1;1;1;1;;1;1;1;1;2;2;2;3;1;2;0;1;1;2;2;0;2;0;1;;2;;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;3100;01;01;01;;02;02;3100.0;05;05;05;;06;04;1;0;98;0;0;0;00000
380093;1;1;2014;4;1;S;33;792;1;;6;1;;3;1;1;1;;1;1;1;1;2;2;2;6;3;2;0;1;1;1;2;0;2;0;1;;1;;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;0;3;26000;10;;10;10;;10;8666.6666666667;09;;09;09;;10;1;2;5;0;0;0;10000
380094;1;1;2014;4;1;S;33;857;2;;1;1;;1;1;1;1;;1;1;1;1;2;2;2;1;1;2;0;1;1;2;2;0;2;0;1;;1;;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;3200;02;;01;01;;02;3200.0;05;;05;05;;06;1;0;98;0;0;0;00000
380095;1;1;2014;4;43;N;14;123;2;;2;1;;4;1;1;1;;1;1;1;1;2;2;2;2;2;2;0;1;1;2;2;0;2;0;3;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;1;3;9000;05;06;06;;06;06;2250.0;03;04;03;;04;05;2;0;98;0;0;0;00000
380096;1;1;2014;4;44;N;17;240;1;;4;1;;4;1;1;1;;1;1;1;1;2;2;2;4;2;2;0;1;1;1;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;13200;07;08;06;;08;07;6600.0;09;09;07;;09;08;2;0;98;0;0;0;10000
380097;1;1;2014;4;44;N;91;88;1;;5;1;;4;1;1;1;;1;1;1;1;2;2;2;5;2;2;0;1;2;2;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;3;0;3;29000;10;10;09;;10;10;9666.6666666667;10;10;09;;10;09;2;0;97;0;0;0;00100
380098;1;1;2014;4;42;N;26;101;1;;3;1;;1;1;1;1;;1;1;1;1;2;2;2;3;2;2;0;1;1;1;2;0;2;0;1;;1;;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;9700;06;06;06;;06;06;4850.0;07;08;08;;08;08;1;2;98;0;0;0;00000
380100;1;1;2014;4;43;S;2;402;1;;3;2;;1;1;1;1;;1;1;1;3;2;2;2;3;3;2;0;1;1;1;2;0;2;0;1;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;3;0;3;4500;02;02;02;02;;02;1500.0;02;02;02;02;;02;1;0;98;0;0;0;00000
380101;1;1;2014;4;1;S;33;907;2;;3;1;;1;1;1;1;;1;1;1;1;2;2;2;3;1;2;0;1;2;2;2;0;2;0;3;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;4800;02;;02;02;;02;4800.0;07;;07;07;;08;1;0;98;0;0;0;00000
380102;1;1;2014;4;1;S;32;1188;2;;4;1;;9;1;1;1;;1;1;1;1;2;2;2;4;3;2;0;1;2;2;2;0;2;0;2;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;5;2;3;7500;04;;04;04;;03;1500.0;02;;02;02;;01;2;0;96;0;0;0;10100
380104;1;1;2014;4;40;N;19;180;1;;2;1;;2;1;1;1;;1;1;1;2;2;2;2;2;1;2;0;1;1;2;2;0;2;0;1;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;1200;01;01;01;;01;01;1200.0;02;02;02;;02;02;1;0;98;0;0;0;00000
380105;2;1;2014;4;43;S;13;741;2;;2;1;;2;1;1;1;;1;1;1;2;2;2;2;2;2;2;0;1;2;2;2;0;2;0;3;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;1;2;2;2;2;5;2;3;6560;04;04;04;04;;04;1312.0;02;02;02;02;;02;2;0;3;0;0;0;00000
380106;1;1;2014;4;43;N;3;196;1;;5;1;;9;1;1;1;;1;1;1;2;2;2;2;5;1;2;0;1;2;2;2;0;2;0;1;;1;;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;3100;01;01;01;;02;02;3100.0;05;05;05;;06;04;1;0;98;0;0;0;00000
380107;1;1;2014;4;1;S;32;1820;2;;2;1;;2;1;1;1;;1;1;1;1;2;2;2;2;2;2;0;1;1;2;2;0;2;0;6;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;5;1;4;20700;09;;09;09;;08;4140.0;07;;06;07;;04;2;1;98;0;0;0;00010
380108;1;1;2014;4;42;S;10;417;2;;3;1;;1;1;1;1;;1;1;1;1;2;2;2;3;2;2;0;1;2;2;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;0;3;14000;08;08;08;08;;08;4666.6666666667;07;07;08;07;;08;1;2;3;0;0;0;00000
380109;1;1;2014;4;41;N;8;307;1;;2;1;;4;1;1;1;;1;1;1;2;2;2;2;2;2;2;0;2;2;2;0;0;0;0;1;;2;;1;2;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;8;1;7;9100;05;06;07;;06;08;1137.5;01;02;02;;02;03;2;0;98;0;0;0;00000
380110;1;1;2014;4;42;N;27;196;2;;4;4;plastico;9;1;1;1;;1;1;1;1;2;2;2;4;3;2;0;1;1;2;2;0;2;0;1;;1;;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;0;3;31000;10;10;10;;10;10;10333.333333333;10;10;10;;10;10;2;0;97;0;0;0;00000
380114;2;1;2014;4;1;S;33;1615;2;;3;1;;4;1;1;1;;1;1;1;2;2;2;2;1;1;2;0;1;2;2;2;0;2;0;1;;2;;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;2400;01;;01;01;;01;2400.0;04;;03;04;;04;1;0;98;0;0;0;00000
380116;1;1;2014;4;41;N;7;187;1;;5;1;;4;1;1;1;;1;1;1;1;2;2;2;5;3;1;1;1;2;2;2;0;2;0;1;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;5;0;5;8000;05;05;07;;05;06;1600.0;02;02;04;;03;03;2;0;4;0;0;0;00000
380117;1;1;2014;4;44;N;93;48;1;;2;1;;2;1;1;1;;1;1;1;1;2;2;2;2;1;2;0;1;2;2;2;0;2;0;1;;1;;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;3800;02;02;01;;02;02;3800.0;06;07;04;;07;06;1;0;98;0;0;0;00000
380119;1;1;2014;4;43;N;3;210;1;;5;1;;9;1;1;1;;1;1;1;1;2;2;2;5;4;2;0;1;1;1;2;0;2;0;1;;1;;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;3;0;3;11900;07;07;07;;07;07;3966.6666666667;06;07;06;;07;05;2;0;98;0;0;0;00000
380120;1;1;2014;4;1;S;33;1007;1;;2;1;;1;1;1;1;;1;1;1;3;2;2;2;2;1;2;0;1;1;2;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;2000;01;;01;01;;01;2000.0;03;;03;03;;03;1;0;98;0;0;0;10000
380123;1;1;2014;4;40;N;18;199;1;;3;1;;2;1;1;1;;1;1;1;1;2;2;2;3;2;2;0;1;1;2;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;3;0;3;5200;03;03;03;;03;04;1733.3333333333;03;03;04;;03;05;1;0;3;0;0;0;00000
380126;1;1;2014;4;43;S;13;654;1;;3;1;;1;1;1;1;;1;1;1;3;2;2;2;3;2;1;1;1;1;1;2;0;2;0;1;;2;;1;1;2;2;2;2;2;2;2;2;1;2;2;2;2;1;1;2;2;2;2;2;2;1;0;1;17000;09;09;09;09;;09;17000.0;10;10;10;10;;10;98;0;98;0;0;0;00000
380127;1;1;2014;4;44;N;93;35;1;;4;2;;2;1;1;1;;1;1;1;1;2;2;2;4;3;2;0;1;2;2;2;0;2;0;1;;1;;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;1;1;2;2;2;3;0;3;11670;07;07;05;;07;07;3890.0;06;07;05;;07;06;1;0;98;0;0;0;10000
380129;1;1;2014;4;44;N;93;34;1;;4;1;;2;1;1;1;;1;1;1;1;2;2;2;4;1;2;0;1;2;2;2;0;2;0;3;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;0;3;12000;07;07;05;;07;07;4000.0;07;07;05;;07;06;2;0;3;0;0;0;10000
380130;1;1;2014;4;44;N;31;95;6;casilla;2;1;;4;1;1;4;camion cisterna;1;1;1;2;2;2;2;2;2;2;0;1;2;2;2;0;2;0;1;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;1;3;15000;08;08;06;;08;04;3750.0;06;06;04;;07;03;2;0;98;0;0;0;00000
380131;1;1;2014;4;1;S;33;1395;1;;3;1;;1;1;1;1;;1;1;1;1;2;2;2;3;1;2;0;1;2;2;2;0;2;0;1;;1;;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;2800;01;;01;01;;01;2800.0;04;;04;04;;05;1;0;98;0;0;0;00000
380132;1;1;2014;4;44;N;93;44;2;;1;1;;1;1;1;1;;1;1;1;1;2;2;2;1;1;2;0;1;2;2;2;0;2;0;6;;1;;1;1;2;2;2;2;2;1;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;4;2;2;4500;02;02;02;;02;02;1125.0;01;02;01;;02;01;1;0;98;0;0;0;00000
