"CODUSU";"ANO4";"TRIMESTRE";"NRO_HOGAR";"REALIZADA";"REGION";"MAS_500";"AGLOMERADO";"PONDERA";"IV1";"IV1_ESP";"IV2";"IV3";"IV3_ESP";"IV4";"IV5";"IV6";"IV7";"IV7_ESP";"IV8";"IV9";"IV10";"IV11";"IV12_1";"IV12_2";"IV12_3";"II1";"II2";"II3";"II3_1";"II4_1";"II4_2";"II4_3";"II5";"II5_1";"II6";"II6_1";"II7";"II7_ESP";"II8";"II8_ESP";"II9";"V1";"V2";"V21";"V22";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19_A";"V19_B";"IX_TOT";"IX_MEN10";"IX_MAYEQ10";"ITF";"DECIFR";"IDECIFR";"RDECIFR";"GDECIFR";"PDECIFR";"ADECIFR";"IPCF";"DECCFR";"IDECCFR";"RDECCFR";"GDECCFR";"PDECCFR";"ADECCFR";"PONDIH";"VII1_1";"VII1_2";"VII2_1";"VII2_2";"VII2_3";"VII2_4"
"TQRMNOQQXHJOLQCDEGOIH00794197";2024;1;1;1;40;"N";18;159;1;"";3;1;"";1;1;1;1;"";1;1;1;1;2;2;2;3;3;2;0;1;2;2;2;0;2;0;1;"";1;"";1;1;2;2;2;2;2;1;2;2;2;2;2;1;2;2;2;2;1;2;2;2;2;5;0;5;304000;"3";"3";"3";"";"3";"4";60800;"1";"1";"2";"";"1";"2";162;2;0;3;0;0;0
"TQRMNORTSHJNMRCDEIJAH00797689";2024;1;1;1;1;"S";33;1254;1;"";2;1;"";3;1;1;1;"";1;1;1;2;2;2;2;2;2;2;0;1;2;1;2;0;2;0;1;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;0;4;0;"12";"";"12";"12";"";"12";0;"12";"";"12";"12";"";"12";0;2;0;98;0;0;0
"TQRMNOPXVHMMLSCDEIJAH00802110";2024;1;1;1;1;"S";33;1100;2;"";3;1;"";2;1;1;1;"";1;1;1;1;2;2;2;3;2;2;0;1;2;2;2;0;2;0;3;"";1;"";1;1;2;2;2;2;2;1;2;1;2;2;2;2;2;1;1;2;2;2;2;2;2;4;0;4;0;"12";"";"12";"12";"";"12";0;"12";"";"12";"12";"";"12";0;5;0;1;0;0;0
"TQRMNOQVVHLMMLCDEIJAH00855475";2024;1;1;1;1;"S";33;1513;1;"";2;1;"";2;1;1;1;"";1;1;1;1;2;2;2;2;1;2;0;1;2;2;2;0;2;0;1;"";1;"";1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;120000;"1";"";"1";"1";"";"1";120000;"3";"";"3";"3";"";"4";1593;1;0;98;0;0;0
"TQRMNOTPQHMNLUCDEIJAH00802118";2024;1;1;1;1;"S";33;2239;1;"";4;2;"";4;2;1;1;"";1;1;1;1;2;1;2;4;2;2;0;1;2;2;2;0;2;0;1;"";2;"";1;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;0;4;231000;"2";"";"2";"2";"";"2";57750;"1";"";"1";"1";"";"1";4702;1;0;98;0;0;0
"TQRMNOQQUHMNMLCDEIJAH00802119";2024;1;1;1;1;"S";33;1650;1;"";2;1;"";1;1;1;1;"";1;1;1;1;1;2;2;2;2;2;0;1;2;2;2;0;2;0;1;"";1;"";1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;3;0;3;0;"12";"";"12";"12";"";"12";0;"12";"";"12";"12";"";"12";0;1;2;98;0;0;0
"TQRMNOQVPHLMKQCDEFJAH00851735";2024;1;1;1;43;"N";3;247;1;"";4;1;"";2;1;1;1;"";1;1;1;1;2;2;2;4;1;2;0;1;1;1;2;0;2;0;1;"";1;"";1;2;1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;300000;"3";"3";"3";"";"3";"3";300000;"7";"8";"7";"";"8";"7";339;1;0;98;0;0;0
"TQRMNOPRTHMOKNCDEIMBF00802866";2024;1;1;1;43;"N";36;226;1;"";2;2;"";4;2;1;1;"";1;1;1;2;2;2;2;2;2;2;0;1;2;2;2;0;2;0;7;"";2;"";1;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;5;3;2;0;"12";"12";"12";"";"12";"12";0;"12";"12";"12";"";"12";"12";0;2;0;98;0;0;0
"TQRMNOTRRHLLLLCDEHPJB00854537";2024;1;1;1;40;"S";29;455;2;"";5;1;"";1;1;1;1;"";1;1;1;1;2;2;2;5;1;1;1;1;1;1;2;0;2;0;1;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;1;2;2;2;2;1;0;1;550000;"6";"6";"7";"6";"";"7";550000;"9";"10";"10";"9";"";"10";532;1;0;98;0;0;0
"TQRMNOPPSHMMOPCDEIJAH00802107";2024;1;1;1;1;"S";33;2010;1;"";2;1;"";2;1;1;1;"";1;1;1;1;2;2;2;2;2;2;0;1;1;1;2;0;2;0;1;"";1;"";1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;0;3;260000;"3";"";"2";"2";"";"3";86666,67;"2";"";"2";"2";"";"2";3003;2;0;98;0;0;0
"TQRMNOSSUHJOMLCDEIKAH00797293";2024;1;1;1;43;"S";34;551;1;"";3;1;"";4;1;1;1;"";1;1;1;1;1;2;2;3;2;2;0;2;2;2;0;0;0;0;1;"";2;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;0;2;300000;"3";"3";"3";"3";"";"3";150000;"4";"4";"4";"4";"";"4";1416;1;0;2;0;0;0
