CODUSU;ANO4;TRIMESTRE;NRO_HOGAR;REALIZADA;REGION;MAS_500;AGLOMERADO;PONDERA;IV1;IV1_ESP;IV2;IV3;IV3_ESP;IV4;IV5;IV6;IV7;IV7_ESP;IV8;IV9;IV10;IV11;IV12_1;IV12_2;IV12_3;II1;II2;II3;II3_1;II4_1;II4_2;II4_3;II5;II5_1;II6;II6_1;II7;II7_ESP;II8;II8_ESP;II9;V1;V2;V21;V22;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19_A;V19_B;IX_TOT;IX_MEN10;IX_MAYEQ10;ITF;DECIFR;IDECIFR;RDECIFR;GDECIFR;PDECIFR;ADECIFR;IPCF;DECCFR;IDECCFR;RDECCFR;GDECCFR;PDECCFR;ADECCFR;PONDIH;VII1_1;VII1_2;VII2_1;VII2_2;VII2_3;VII2_4
"TQRMNOPPWHMLLNCDEGKDB00636667";2020;1;1;1;43;;14;85;1;;3;1;;4;1;1;1;;1;1;1;1;2;2;2;3;2;2;0;1;2;2;2;0;2;0;1;;1;;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;5;1;4;0;"12";"12";"12";;;"12";0;"12";"12";"12";;;"12";0;1;0;2;0;0;0
"TQRMNOPXYHJKLNCDEGKDB00624657";2020;1;1;1;43;;14;77;1;;5;1;;4;1;1;1;;1;1;1;1;2;2;2;5;2;2;0;1;1;1;2;0;2;0;1;;1;;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;3;0;3;112500;"09";"10";"10";;;"10";37500;"09";"09";"09";;;"09";165;1;2;3;0;0;0
"TQRMNORRUHKKLNCDEGKDB00653803";2020;1;1;1;43;;14;72;1;;2;1;;4;1;1;1;;1;1;1;1;2;2;2;2;1;2;0;1;1;1;2;0;2;0;1;;2;;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;0;"12";"12";"12";;;"12";0;"12";"12";"12";;;"12";0;1;0;98;0;0;0
"TQRMNORQRHKLKMCDEGKDB00653804";2020;1;1;1;43;;14;85;1;;4;1;;4;1;1;1;;1;1;1;1;2;2;2;4;2;2;0;1;1;2;2;0;2;0;1;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;2;2;3;0;3;125000;"10";"10";"10";;;"10";41666,67;"09";"09";"09";;;"10";139;2;0;1;0;0;0
"TQRMNORTSHKLKNCDEGKDB00653805";2020;1;1;1;43;;14;90;2;;3;1;;2;1;1;1;;1;1;1;1;2;2;2;3;1;2;0;1;1;2;2;0;2;0;1;;1;;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;0;1;35000;"04";"04";"04";;;"05";35000;"08";"09";"08";;;"09";101;1;0;98;0;0;0
"TQRMNORTVHKLKNCDEGKDB00653806";2020;1;1;1;43;;14;90;1;;3;1;;4;1;1;1;;1;1;1;1;2;2;2;3;2;2;0;2;1;1;2;0;2;0;1;;1;;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;3;0;3;191000;"10";"10";"10";;;"10";63666,67;"10";"10";"10";;;"10";116;2;0;1;0;0;0
"TQRMNORRQHKMKRCDEGKDB00653807";2020;1;1;1;43;;14;99;1;;3;1;;4;1;1;1;;1;1;1;1;2;2;2;3;1;2;0;2;2;1;2;0;2;0;1;;2;;1;2;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;48500;"06";"06";"06";;;"07";24250;"07";"07";"07";;;"08";147;2;0;1;0;0;0
"TQRMNOQWVHKMLLCDEGKDB00653808";2020;1;1;1;43;;14;193;1;;2;1;;4;1;1;1;;1;1;1;1;2;2;2;2;2;2;0;1;1;2;2;0;2;0;1;;2;;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;2;4;1;3;26400;"03";"03";"03";;;"03";6600;"02";"02";"02";;;"02";306;1;2;98;0;0;0
"TQRMNOPXPHKMLPCDEGKDB00653809";2020;1;1;1;43;;14;106;1;;2;2;;4;1;1;1;;1;1;1;1;2;2;2;2;2;2;0;1;2;2;2;0;2;0;1;;2;;1;2;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;58000;"07";"07";"07";;;"08";29000;"08";"08";"08";;;"09";149;1;2;98;0;0;0
"TQRMNOPQQHKMLQCDEGKDB00653810";2020;1;1;1;43;;14;84;1;;2;2;;4;2;1;1;;1;1;1;1;2;2;2;2;2;2;0;1;2;2;2;0;2;0;1;;2;;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;1;3;79000;"08";"08";"08";;;"09";19750;"06";"06";"06";;;"07";144;2;0;98;0;0;0
