CODUSU;NRO_HOGAR;REALIZADA;ANO4ZADA;TRIMESTRE;REGIONRE;MAS_500;AGLOMERADO;PONDERADO;IV1ERA;IV1_ESP;IV2ESP;IV3;IV3_ESP;IV4ESP;IV5;IV6;IV7;IV7_ESP;IV8ESP;IV9;IV10;IV11;IV12_1;IV12_2;IV12_3;II1_3;II2;II3;II3_1;II4_1;II4_2;II4_3;II53;II5_1;II61;II6_1;II71;II7_ESP;II8ESP;II8_ESP;II9ESP;V1;V2;V21;V22;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19_A;V19_B;IX_TOT;IX_MEN10;IX_MAYEQ10;ITFAYEQ10;DECIFR;IDECIFR;RDECIFR;GDECIFR;PDECIFR;ADECIFR;IPCFFR;DECCFR;IDECCFR;RDECCFR;GDECCFR;PDECCFR;ADECCFR;VII1_1;VII1_2;VII2_1;VII2_2;VII2_3;VII2_4;IDIMPH
391008;1;1;2014;1;43;S;2;497;1;;2;1;;4;1;1;1;;1;1;1;1;2;2;2;2;2;2;0;1;1;1;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;5;1;4;19200;09;10;10;09;;09;3840.0;07;07;07;07;;06;2;0;1;0;0;0;11000
389454;1;1;2014;1;43;S;2;610;1;;3;1;;4;1;1;1;;1;1;1;1;2;1;2;3;2;2;0;1;2;1;2;0;2;0;4;;1;;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;0;4;20400;10;10;10;10;;10;5100.0;08;08;08;08;;08;2;3;98;0;0;0;10010
388335;1;1;2014;1;43;S;2;590;1;;2;1;;4;1;1;1;;1;1;1;1;2;1;2;2;2;2;0;1;1;1;2;0;1;1;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;0;3;7000;05;05;05;05;;05;2333.3332519531;04;05;04;04;;04;1;0;98;0;0;0;10000
387907;1;1;2014;1;43;S;2;712;1;;4;1;;2;1;1;1;;1;1;1;2;2;2;2;4;1;2;0;1;1;1;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;0;2;10200;07;07;07;07;;07;5100.0;08;08;08;08;;08;1;2;98;0;0;0;00000
392021;1;1;2014;1;43;S;2;664;1;;5;1;;3;1;1;1;;1;1;1;1;2;2;2;5;2;2;0;1;1;1;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;4;1;3;21000;10;10;10;10;;10;5250.0;08;09;08;08;;08;1;0;2;0;0;0;00000
390817;1;1;2014;1;43;S;2;681;1;;3;1;;2;1;1;1;;1;1;1;1;2;2;2;3;1;2;0;1;1;2;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;5000;03;03;03;03;;03;2500.0;05;05;04;05;;04;2;0;98;0;0;0;10010
392135;1;1;2014;1;43;S;2;717;1;;4;1;;3;1;1;1;;1;1;1;1;2;2;2;4;3;2;0;1;1;1;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;5;0;5;27000;10;10;10;10;;10;5400.0;08;09;08;08;;08;2;0;98;0;0;0;00000
388626;1;1;2014;1;43;S;2;638;1;;2;1;;4;1;1;1;;1;1;1;1;2;2;2;2;2;2;0;1;2;1;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;0;3;10500;07;07;07;07;;07;3500.0;06;07;06;06;;06;1;0;2;0;0;0;00000
392797;1;1;2014;1;43;S;2;711;1;;3;1;;4;1;1;1;;1;1;1;1;2;2;2;3;1;2;0;1;1;1;2;0;2;0;1;;1;;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;1;0;1;4600;03;03;03;03;;03;4600.0;08;08;08;08;;07;1;0;97;0;0;0;00000
387432;1;1;2014;1;43;S;2;616;1;;2;1;;2;1;1;1;;1;1;1;1;2;2;2;2;2;2;0;1;1;1;2;0;2;0;1;;1;;1;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;5;3;2;8100;06;06;06;05;;05;1620.0;03;03;03;03;;02;2;0;1;0;0;0;00000
386778;1;1;2014;1;43;S;2;599;1;;2;1;;4;1;1;1;;1;1;1;1;2;2;2;2;2;2;0;1;1;2;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;5;3;2;1000;01;01;01;01;;01;200.0;01;01;01;01;;01;1;0;98;0;0;0;10000
387844;1;1;2014;1;43;S;2;621;1;;3;1;;2;1;1;1;;1;1;1;1;2;2;2;3;2;2;0;1;2;1;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;3;1;2;14500;08;09;09;08;;08;4833.3334960938;08;08;08;08;;08;1;0;2;0;0;0;00000
