CODUSU;ANO4;TRIMESTRE;NRO_HOGAR;REALIZADA;REGION;MAS_500;AGLOMERADO;PONDERA;IV1;IV1_ESP;IV2;IV3;IV3_ESP;IV4;IV5;IV6;IV7;IV7_ESP;IV8;IV9;IV10;IV11;IV12_1;IV12_2;IV12_3;II1;II2;II3;II3_1;II4_1;II4_2;II4_3;II5;II5_1;II6;II6_1;II7;II7_ESP;II8;II8_ESP;II9;V1;V2;V2_02;V2_03;V21_01;V22_01;V3;V4;V5_02;V5_03;V6;V7;V8;V9;V10;V11_01;V11_02;V12;V13;V14;V15;V16;V17;V18;V19_A;V19_B;IX_TOT;IX_MEN10;IX_MAYEQ10;ITF;DECIFR;IDECIFR;RDECIFR;GDECIFR;PDECIFR;ADECIFR;IPCF;DECCFR;IDECCFR;RDECCFR;GDECCFR;PDECCFR;ADECCFR;PONDIH;VII1_1;VII1_2;VII2_1;VII2_2;VII2_3;VII2_4;V5_01;V21_02;V21_03;V22_02;V22_03;V2_01
TQRMNOTPRHMKTMCDEIJAH00894182;2025;4;1;1;1;S;33;1827;1;;4;1;;2;1;1;1;;1;1;1;1;2;2;2;4;1;2;0;1;2;2;2;0;2;0;1;;4;electricidad;1;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;1170000;4;;4;4;;4;1170000;9;;8;9;;9;2533;1;0;98;0;0;0;2;2;2;2;2;1
TQRMNOQSYHMKTNCDEIJAH00895464;2025;4;1;1;1;S;33;2039;1;;3;1;;3;1;1;1;;1;1;1;1;2;2;2;3;1;2;0;1;2;2;2;0;2;0;1;;1;;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;1;2;2;2;2;1;0;1;0;12;;12;12;;12;0;12;;12;12;;12;0;1;0;96;0;0;0;2;2;2;2;2;1
TQRMNOSXXHMKTNCDEIJAH00896318;2025;4;1;1;1;S;33;2039;2;;3;1;;1;1;1;1;;1;1;1;1;2;2;2;3;1;2;0;1;2;2;2;0;2;0;2;;4;ELECTRICO;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;1;2;2;2;2;1;0;1;1970000;7;;7;7;;7;1970000;10;;10;10;;10;2513;1;0;98;0;0;0;2;2;2;2;2;1
TQRMNOXPUHMKTUCDEIJAH00889104;2025;4;1;1;1;S;33;1424;2;;2;1;;9;1;1;1;;1;1;1;1;2;2;2;2;1;2;0;1;2;2;2;0;2;0;1;;1;;1;1;2;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;2;2;2;1;0;1;1000000;4;;3;4;;4;1000000;8;;8;8;;9;2032;1;0;98;0;0;0;2;2;2;2;2;0
TQRMNOXPVHMKTUCDEIJAH00893500;2025;4;1;1;1;S;33;2123;1;;3;1;;2;1;1;1;;1;1;1;1;2;2;2;3;1;2;0;1;1;2;2;0;2;0;1;;1;;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;0;2;0;12;;12;12;;12;0;12;;12;12;;12;0;2;0;1;0;0;0;2;2;2;2;2;1
TQRMNOXPWHMKTUCDEIJAH00896024;2025;4;1;1;1;S;33;1424;2;;2;1;;9;1;1;1;;1;1;1;1;2;2;2;2;1;2;0;1;2;2;2;0;2;0;3;;1;;1;1;2;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;1;0;1;2100000;7;;7;7;;8;2100000;10;;10;10;;10;1782;1;0;98;0;0;0;2;2;2;2;2;0
TQRMNOQRQHMMSUCDEIJAH00893151;2025;4;1;1;1;S;33;1079;1;;2;1;;4;1;1;1;;1;1;1;1;2;1;2;2;1;2;0;1;2;1;2;0;2;0;1;;1;;1;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;436470;1;;1;1;;1;218235;2;;1;1;;2;2183;1;2;98;0;0;0;2;2;2;1;2;1
TQRMNOQRRHMMSUCDEIJAH00890227;2025;4;1;1;1;S;33;1812;2;;4;1;;4;1;1;1;;1;1;1;1;2;2;2;4;3;2;0;1;2;1;2;0;2;0;6;;1;;1;1;2;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;4;1;3;2406000;8;;8;8;;8;601500;6;;6;6;;7;2298;1;0;3;4;0;0;2;2;2;2;2;0
TQRMNORXTHMMSUCDEIJAH00892169;2025;4;1;1;1;S;33;1697;1;;3;1;;4;1;1;1;;1;1;1;1;2;1;2;3;2;2;0;1;2;2;2;0;2;0;6;;1;;1;1;2;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;0;4;0;12;;12;12;;12;0;12;;12;12;;12;0;2;0;98;0;0;0;2;2;2;2;2;0
TQRMNORYQHMMSUCDEIJAH00887780;2025;4;1;1;1;S;33;1697;2;;4;1;;3;1;1;1;;1;1;1;1;2;2;2;4;3;2;0;2;1;1;2;0;2;0;1;;1;;1;1;2;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;4;0;4;3150000;9;;9;9;;9;787500;7;;7;7;;8;3799;2;0;1;4;0;0;2;2;2;2;2;0
TQRMNORYVHMMSUCDEIJAH00892170;2025;4;1;1;1;S;33;1975;2;;4;1;;9;1;1;1;;1;1;1;1;2;2;2;4;2;2;0;1;1;1;2;0;2;0;1;;1;;1;1;1;1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;1;3;0;12;;12;12;;12;0;12;;12;12;;12;0;1;0;98;0;0;0;2;1;2;1;2;2
TQRMNOSRUHMMSUCDEIJAH00890806;2025;4;1;1;1;S;33;1485;2;;2;1;;2;1;1;1;;1;1;1;1;1;2;2;2;1;2;0;1;1;2;2;0;2;0;3;;2;;1;1;2;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;2;2;2;2;1;0;1;500000;1;;1;1;;1;500000;5;;5;5;;5;1608;1;0;97;0;0;0;2;2;2;2;2;0
TQRMNOSRVHMMSUCDEIJAH00891302;2025;4;1;1;1;S;33;1289;1;;4;1;;3;1;1;1;;1;1;1;1;2;1;2;4;2;2;0;1;1;1;2;0;2;0;1;;1;;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;2;0;2;1089085;4;;4;4;;4;544542,5;5;;5;5;;6;2070;1;0;98;0;0;0;2;2;2;2;2;2
