CODUSU;ANO4;TRIMESTRE;NRO_HOGAR;REALIZADA;REGION;MAS_500;AGLOMERADO;PONDERA;IV1;IV1_ESP;IV2;IV3;IV3_ESP;IV4;IV5;IV6;IV7;IV7_ESP;IV8;IV9;IV10;IV11;IV12_1;IV12_2;IV12_3;II1;II2;II3;II3_1;II4_1;II4_2;II4_3;II5;II5_1;II6;II6_1;II7;II7_ESP;II8;II8_ESP;II9;V1;V2;V21;V22;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19_A;V19_B;IX_TOT;IX_MEN10;IX_MAYEQ10;ITF;DECIFR;IDECIFR;RDECIFR;GDECIFR;PDECIFR;ADECIFR;IPCF;DECCFR;IDECCFR;RDECCFR;GDECCFR;PDECCFR;ADECCFR;PONDIH;VII1_1;VII1_2;VII2_1;VII2_2;VII2_3;VII2_4
"TQRMNOPSVHMLRUCDEIJAH00638908";2020;2;1;1;1;;33;5743;1;;4;2;;2;2;1;1;;1;1;1;1;2;2;2;4;1;2;0;1;1;1;2;0;2;0;7;;2;;1;2;1;2;1;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;25000;"03";"  ";"03";;;"03";12500;"05";"  ";"04";;;"05";8773;2;0;98;0;0;0
"TQRMNORTUHMLRUCDEIJAH00633147";2020;2;1;1;1;;33;4715;2;;2;1;;9;1;1;1;;1;1;1;1;2;2;2;2;1;2;0;1;2;2;2;0;2;0;3;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;1;2;2;2;1;0;1;50000;"07";"  ";"06";;;"07";50000;"10";"  ";"10";;;"10";5147;1;0;98;0;0;0
"TQRMNOPSQHLMRUCDEIJAH00638942";2020;2;1;1;1;;33;5059;1;;5;1;;2;1;1;1;;1;1;1;2;2;2;2;5;4;2;0;1;1;2;2;0;2;0;1;;1;;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;6;0;6;0;"12";"  ";"12";;;"12";0;"12";"  ";"12";;;"12";0;1;0;98;0;0;0
"TQRMNORWWHLMRUCDEIJAH00639139";2020;2;1;1;1;;33;4753;1;;2;1;;1;1;1;1;;1;1;1;1;2;2;2;2;1;2;0;1;2;1;2;0;2;0;1;;1;;1;2;1;2;2;2;2;2;2;1;2;2;2;2;2;1;2;2;1;2;2;2;2;2;0;2;0;"12";"  ";"12";;;"12";0;"12";"  ";"12";;;"12";0;1;0;2;0;0;0
"TQRMNOPWTHLOSLCDEIJAH00639302";2020;2;1;1;1;;33;2387;1;;2;1;;4;1;1;1;;1;1;1;1;2;2;2;2;2;2;0;1;1;2;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;4;1;3;0;"12";"  ";"12";;;"12";0;"12";"  ";"12";;;"12";0;2;0;1;0;0;0
"TQRMNOPWWHLOSLCDEIJAH00638799";2020;2;1;1;1;;33;2696;1;;5;1;;2;1;1;1;;1;1;1;1;2;2;2;5;4;2;0;1;1;1;2;0;2;0;1;;1;;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;2;2;2;7;0;7;80000;"09";"  ";"09";;;"09";11428,57;"04";"  ";"04";;;"05";4857;2;0;98;0;0;0
"TQRMNOPWXHLOSLCDEIJAH00638917";2020;2;1;1;1;;33;2563;1;;3;1;;2;1;1;1;;1;1;1;1;2;2;2;3;2;2;0;1;1;2;2;0;2;0;1;;1;;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;20000;"02";"  ";"02";;;"03";10000;"04";"  ";"04";;;"04";3338;2;0;98;0;0;0
"TQRMNORUTHLOSLCDEIJAH00645450";2020;2;1;1;1;;33;2655;1;;4;1;;2;1;1;1;;1;1;1;1;2;2;2;4;3;2;0;1;1;1;2;0;2;0;1;;1;;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;5;0;5;37500;"05";"  ";"05";;;"06";7500;"03";"  ";"03";;;"03";5207;3;0;4;5;0;0
"TQRMNOQPPHMOSLCDEIJAH00633499";2020;2;1;1;1;;33;2847;1;;2;2;;2;2;1;1;;1;1;1;2;2;2;2;2;2;2;0;1;2;2;2;0;2;0;1;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;0;3;1500;"01";"  ";"01";;;"01";500;"01";"  ";"01";;;"01";3433;2;0;3;0;0;0
"TQRMNOPTUHLMSMCDEIJAH00638823";2020;2;1;1;1;;33;8450;1;;2;1;;4;1;1;2;;1;1;1;2;2;1;2;2;1;2;0;1;1;1;2;0;2;0;4;;1;;1;1;2;2;2;2;2;1;2;2;2;2;2;2;2;1;1;1;1;2;2;2;2;4;2;2;50000;"07";"  ";"07";;;"07";12500;"05";"  ";"04";;;"05";11438;2;0;98;0;0;0
