CODUSU;ANO4;TRIMESTRE;CH04;CH06;AGLOMERADO;CH09;CH10;CH12;CH13;CH15;CH07;CAT_INAC;CAT_OCUP;PP07G1;PP07G2;PP07G3;PP07G4;PP07G_59;PP07H;PP07I;PP07J;PP07K;P47T;V3_M;T_VI;V12_M;TOT_P12;V5_M;V2_M;PP08D1;P21
132112;2005;1;1;18;32;1;1;4;2;1;5;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
132112;2005;1;2;24;32;1;2;4;2;1;3;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
132112;2005;1;2;5;32;2;1;2;2;1;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
132112;2005;1;1;2;32;2;3;0;0;1;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
132113;2005;1;1;54;32;1;1;6;2;1;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
132113;2005;1;2;51;32;1;2;4;1;2;2;0;3;1;1;1;1;0;1;0;1;1;500;0;0;0;0;0;0;500;500
132113;2005;1;1;25;32;1;1;6;2;1;5;0;3;1;1;1;1;0;1;0;1;1;1000;0;0;0;0;0;0;1000;1000
132113;2005;1;1;24;32;1;1;6;2;1;5;0;3;1;1;1;1;0;1;0;1;1;600;0;0;0;0;0;0;600;600
132764;2005;1;1;23;32;1;1;7;2;2;5;0;3;0;0;0;0;0;0;0;0;0;1200;0;1200;1200;0;0;0;0;0
132764;2005;1;1;26;32;1;2;7;1;2;5;0;3;1;1;1;1;0;1;0;1;1;900;0;0;0;0;0;0;900;900
132764;2005;1;1;17;32;1;2;4;1;1;5;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
132832;2005;1;1;74;32;1;2;4;2;1;2;1;0;0;0;0;0;0;0;0;0;0;740;0;740;0;0;0;740;0;0
132832;2005;1;2;71;32;1;2;2;1;3;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
133114;2005;1;1;39;32;1;2;2;1;4;2;0;3;1;1;1;1;0;1;0;1;1;1000;0;0;0;0;0;0;1000;1000
133114;2005;1;2;32;32;1;2;2;1;4;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
133114;2005;1;2;13;32;1;1;4;2;4;5;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
133114;2005;1;1;10;32;1;1;3;2;1;5;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
133376;2005;1;1;84;32;1;2;2;1;4;2;1;0;0;0;0;0;0;0;0;0;0;608;0;608;0;0;0;308;0;0
133376;2005;1;2;84;32;1;2;2;2;2;2;1;0;0;0;0;0;0;0;0;0;0;608;0;608;0;0;0;308;0;0
133430;2005;1;2;49;32;1;2;7;1;1;1;0;3;1;1;1;1;0;1;0;1;1;1500;0;0;0;0;0;0;1500;1500
133430;2005;1;1;57;32;1;2;6;1;1;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
133430;2005;1;2;12;32;1;1;2;2;1;5;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
133492;2005;1;1;33;32;1;2;4;2;1;5;0;2;0;0;0;0;0;0;0;0;0;1000;0;0;0;700;0;0;0;300
133492;2005;1;1;33;32;1;2;4;1;1;5;0;3;1;1;1;1;0;1;0;1;1;880;0;0;0;0;0;0;600;630
134256;2005;1;1;70;32;1;2;7;2;3;2;0;3;2;2;2;2;5;2;2;1;4;250;0;0;0;0;0;0;250;250
134256;2005;1;2;69;32;1;2;2;1;3;2;4;0;0;0;0;0;0;0;0;0;0;100;0;100;100;0;0;0;0;0
